customer_id,national_id,full_name,gender,date_of_birth,age,nationality,city,marital_status,dependents,education_level,employment_status,employment_sector,job_title,monthly_salary,years_of_employment,salary_frequency,customer_since,preferred_language,customer_status
CUS000001,1356960471,Muhannad Al-Otaibi,Male,1972-10-12,52,Saudi,Jeddah,Married,3,Diploma,Private,Private,Sales Manager,23662.0,13,Monthly,2008-04-30,Arabic,Suspended
CUS000002,1962684098,Wafa Al-Shehri,Female,1969-05-23,56,Saudi,Dammam,Married,3,Bachelor,Private,Private,Sales Manager,13354.0,21,Monthly,2011-08-03,Arabic,Active
CUS000003,1450331265,Shahad Al-Harbi,Female,1968-02-22,57,Saudi,Riyadh,Married,2,High School,Self-Employed,Self-Employed,Business Owner,,18,Monthly,2013-07-21,Arabic,Active
CUS000004,1190689340,Mazen Al-Dawsari,Male,1991-03-13,34,Saudi,Dammam,Married,2,Master,Self-Employed,Self-Employed,Business Owner,48348.0,9,Monthly,2005-04-21,Arabic,Active
CUS000005,1615415383,Sultan Al-Asmari,Male,1977-09-07,47,Saudi,Riyadh,Married,4,,Private,Private,Software Engineer,15808.0,5,Monthly,2016-05-10,Arabic,Active
CUS000006,1434468862,Ahmed Al-Dossari,Male,1985-09-28,39,Saudi,Dammam,Married,3,Bachelor,Student,Student,College Student,189.0,0,Monthly,2016-06-10,Arabic,Active
CUS000007,1463001974,Ahmed Al-Maghamsi,Male,1973-07-12,51,Saudi,Jeddah,Married,5,High School,Private,Private,Software Engineer,5855.0,21,Monthly,2017-08-10,Arabic,Active
CUS000008,1372431012,Rana Al-Yami,Female,1996-05-01,29,Saudi,Jeddah,Married,3,Bachelor,Private,Private,Sales Manager,19792.0,1,Monthly,2022-11-10,Arabic,Active
CUS000009,1505210603,Abeer Al-Johani,Female,1966-12-30,58,Saudi,Riyadh,Married,1,High School,Retired,Retired,Retired Government,13882.0,30,Monthly,2018-02-18,Arabic,Active
CUS000010,1716231329,Shahad Al-Dawsari,Female,1988-05-21,37,Saudi,Medina,Married,1,Diploma,Private,Private,Software Engineer,17045.0,6,Monthly,2013-04-13,Arabic,Active
CUS000011,1333723697,Nasser Al-Yami,Male,1986-03-14,39,Saudi,Jeddah,Divorced,0,Diploma,Self-Employed,Self-Employed,Restaurant Owner,55557.0,10,Bi-Monthly,2023-06-08,Arabic,Active
CUS000012,1928379283,Fatima Al-Qahtani,Female,1960-11-30,64,Saudi,Jeddah,Married,1,PhD,Government,Government,Administrative Staff,10362.0,7,Monthly,2017-12-01,English,Active
CUS000013,1841169273,Fatima Al-Asiri,Female,2001-05-23,24,Saudi,Medina,Married,2,No Formal Education,Government,Government,Engineer,21167.0,2,Monthly,2008-08-17,Arabic,Active
CUS000014,1858081522,Bader Al-Madani,Male,1994-03-21,31,Saudi,Riyadh,Married,1,Bachelor,Government,Government,Government Employee,18628.0,11,Monthly,2020-02-18,Arabic,Inactive
CUS000015,1470613971,Abdullah Al-Dawsari,Male,1982-10-08,42,Saudi,Taif,Married,5,Bachelor,Private,Private,Operations Manager,11337.0,14,Bi-Monthly,2006-02-14,English,Active
CUS000016,1231122932,Ali Al-Madani,Male,2000-11-15,24,Saudi,Khobar,Single,0,Bachelor,Private,Private,Operations Manager,19669.0,0,Monthly,2017-02-21,Arabic,Active
CUS000017,1127915457,Abdulaziz Al-Malki,Male,1988-03-13,37,Saudi,Mecca,Married,5,High School,Student,Student,University Student,2030.0,0,Monthly,2012-04-29,Arabic,Active
CUS000018,1274938712,Tariq Al-Ruwaili,Male,1996-10-30,28,Saudi,Riyadh,Married,4,Master,Private,Private,Financial Analyst,19303.0,5,Monthly,2007-08-18,Arabic,Active
CUS000019,1888560979,Mazen Al-Malki,Male,1970-08-11,54,Saudi,Dammam,Married,4,Bachelor,Self-Employed,Self-Employed,Real Estate Developer,47614.0,0,Monthly,2013-01-12,Arabic,Active
CUS000020,1187496499,Faisal Al-Shammari,Male,1994-05-30,31,Saudi,Riyadh,Married,4,Bachelor,Government,Government,Administrative Staff,24219.0,7,Monthly,2006-11-22,Arabic,Active
CUS000021,1426694745,Maryam Al-Thubaiti,Female,1973-08-12,51,Saudi,Tabuk,Married,1,Master,Retired,Retired,Retired Engineer,8195.0,30,Monthly,2022-07-06,Arabic,Active
CUS000022,1150557025,Ziad Al-Asiri,Male,1993-09-21,31,Saudi,Jeddah,Married,3,PhD,Private,Private,Marketing Manager,8573.0,0,Monthly,2009-03-11,English,Active
CUS000023,1967376347,Waleed Al-Ruwaili,Male,1967-01-29,58,Saudi,Riyadh,Widowed,0,Bachelor,Private,Private,Marketing Manager,13115.0,15,Monthly,2008-02-24,Arabic,Active
CUS000024,1921581368,Ali Al-Bogami,Male,1984-04-06,41,Saudi,Riyadh,Married,4,Bachelor,Government,Government,Army Officer,23088.0,15,Monthly,2019-06-29,Arabic,Active
CUS000025,1194947905,Hamad Al-Harbi,Male,1974-06-19,50,Saudi,Al Ahsa,Married,2,No Formal Education,Private,Private,Accountant,7479.0,11,Monthly,2016-06-11,Arabic,Active
CUS000026,1261643050,Lujain Al-Ghamdi,Female,1995-01-30,30,Saudi,Khobar,Married,2,Bachelor,Private,Private,Software Engineer,17765.0,0,Monthly,2014-05-07,Arabic,Active
CUS000027,1683127510,Hamad Al-Balawi,Male,1979-04-29,46,Saudi,Riyadh,Married,2,Master,Private,Private,IT Specialist,13434.0,23,Monthly,2013-08-06,English,Active
CUS000028,1362576565,Bader Al-Otaibi,Male,1978-04-28,47,Saudi,Al Ahsa,Married,1,Diploma,Retired,Retired,Retired Teacher,13244.0,27,Monthly,2006-01-08,Arabic,Inactive
CUS000029,1303364920,Mohammed Al-Bogami,Male,1996-07-28,28,Saudi,Riyadh,Married,3,Diploma,Retired,Retired,Retired Teacher,5058.0,8,Monthly,2005-06-26,Arabic,Active
CUS000030,1193179911,Ali Al-Shehri,Male,1965-10-25,59,Saudi,Khobar,Widowed,0,Bachelor,Student,Student,University Student,2401.0,0,Monthly,2017-11-04,Arabic,Active
CUS000031,1713489683,Nora Al-Malki,Female,1996-08-12,28,Saudi,Medina,Married,4,Diploma,Private,Private,Accountant,7660.0,4,Monthly,2018-02-01,English,Active
CUS000032,1454784757,Osama Al-Bishi,Male,1996-09-09,28,Saudi,Abha,Married,3,Master,Student,Student,College Student,1595.0,0,Monthly,2018-12-24,Arabic,Active
CUS000033,1494754030,Majed Al-Otaibi,Male,1970-11-19,54,Expat,Jeddah,Married,1,Bachelor,Retired,Retired,Retired Military,7162.0,31,Monthly,2021-02-12,English,Active
CUS000034,1651073529,Hala Al-Johani,Female,1988-06-12,36,Saudi,Jeddah,Married,5,,Government,Government,Administrative Staff,29293.0,12,Monthly,2015-03-31,Arabic,Active
CUS000035,1781596264,Reema Al-Bogami,Female,1964-01-15,61,Expat,Medina,Married,4,Diploma,Private,Private,Marketing Manager,18035.0,6,Monthly,2020-06-20,English,Active
CUS000036,1725891293,Layla Al-Malki,Female,1991-11-13,33,Saudi,Jeddah,Married,4,High School,Government,Government,Police Officer,26069.0,12,Monthly,2011-07-02,Arabic,Active
CUS000037,1858634790,Ghalib Al-Makki,Male,1981-08-04,43,Saudi,Riyadh,Married,5,High School,Government,Government,Army Officer,17933.0,11,Monthly,2017-12-17,Arabic,Active
CUS000038,1617748676,Bilal Al-Anzi,Male,1992-10-19,32,Saudi,Dammam,Married,2,Diploma,Government,Government,Customs Officer,7711.0,7,Monthly,2011-04-19,English,Active
CUS000039,1708018512,Maha Al-Shehri,Female,1977-07-23,47,Saudi,Medina,Married,5,Bachelor,Government,Government,Doctor,34405.0,12,Monthly,2007-06-17,Arabic,Active
CUS000040,1720825311,Omar Al-Qurashi,Male,1982-11-04,42,Saudi,Jeddah,Married,4,High School,Self-Employed,Self-Employed,Business Owner,47996.0,16,Monthly,2007-04-23,Arabic,Active
CUS000041,1112814508,Bader Al-Subaie,Male,1972-09-18,52,Saudi,Jeddah,Divorced,0,Bachelor,Private,Private,Marketing Manager,19425.0,13,Monthly,2022-06-24,English,Active
CUS000042,1336810586,Salman Al-Johani,Male,1978-05-16,47,Saudi,Jeddah,Married,3,Master,Government,Government,Administrative Staff,33306.0,22,Monthly,2014-12-01,English,Active
